operator_id,operator_name,factory_id,primary_shift,experience_years,skill_level,safety_training_status,attendance_rate,operator_error_factor
OPR0028,Neha Nair,FAC007,Evening,17.2,Senior,Certified,0.841,0.006
OPR0029,Ishaan Gupta,FAC002,Evening,18.1,Senior,Certified,0.847,0.006
OPR0030,Rahul Nair,FAC010,Evening,11.9,Senior,Certified,0.932,0.006
OPR0031,Sai Reddy,FAC006,Night,15.7,Senior,Certified,0.959,0.006
OPR0032,Pooja Mehta,FAC006,Night,19.6,Senior,Certified,0.831,0.006
OPR0033,Aman Patel,FAC008,Morning,6.3,Intermediate,Certified,0.779,0.016
OPR0034,Aditya Yadav,FAC009,Morning,9.9,Senior,Not Certified,0.765,0.026
OPR0035,Rohan Yadav,FAC005,Morning,8.4,Senior,Certified,0.817,0.006
OPR0036,Aditya Gupta,FAC010,Evening,7.0,Intermediate,Certified,0.843,0.016
OPR0037,Riya Sharma,FAC004,Morning,19.3,Senior,Expired,0.989,0.026
OPR0038,Aarav Patel,FAC005,Night,12.2,Senior,Certified,0.859,0.006
OPR0039,Riya Sharma,FAC008,Morning,14.6,Senior,Certified,0.991,0.006
OPR0040,Priya Nair,FAC010,Night,19.8,Senior,Certified,0.962,0.006
OPR0041,Neha Singh,FAC002,Night,4.8,Intermediate,Certified,0.934,0.016
OPR0042,Aditya Gupta,FAC008,Morning,9.5,Senior,Certified,0.786,0.006
OPR0043,Aarav Kumar,FAC010,Night,15.8,Senior,Certified,0.766,0.006
OPR0044,Riya Yadav,FAC010,Evening,1.6,Junior,Certified,0.979,0.032
OPR0045,Meera Singh,FAC009,Evening,1.3,Junior,Certified,0.953,0.032
OPR0046,Vikram Gupta,FAC009,Evening,19.9,Senior,Expired,0.904,0.026
OPR0047,Sai Verma,FAC005,Morning,11.4,Senior,Certified,0.924,0.006
OPR0048,Rohan Yadav,FAC004,Evening,1.2,Junior,Certified,0.793,0.032
OPR0049,Ananya Singh,FAC003,Night,7.5,Intermediate,Certified,0.952,0.016
OPR0050,Meera Patel,FAC002,Night,16.2,Senior,Certified,0.81,0.006
OPR0051,Neha Reddy,FAC005,Night,15.7,Senior,Certified,0.927,0.006
OPR0052,Rahul Singh,FAC002,Morning,2.2,Junior,Certified,0.938,0.032
OPR0053,Simran Verma,FAC008,Morning,3.3,Intermediate,Certified,0.784,0.016
OPR0054,Aman Kumar,FAC009,Morning,2.3,Junior,Certified,0.839,0.032
OPR0055,Vivaan Patel,FAC007,Night,11.8,Senior,Certified,0.788,0.006
OPR0056,Rohan Reddy,FAC003,Night,17.0,Senior,Certified,0.819,0.006
OPR0057,Aditya Sharma,FAC002,Night,12.8,Senior,Not Certified,0.791,0.026
OPR0058,Ananya Sharma,FAC009,Night,16.6,Senior,Certified,0.939,0.006
OPR0059,Priya Reddy,FAC005,Evening,7.2,Intermediate,Certified,0.92,0.016
OPR0060,Rohan Sharma,FAC007,Night,7.8,Intermediate,Certified,0.778,0.016
OPR0061,Priya Verma,FAC005,Morning,12.8,Senior,Certified,0.931,0.006
OPR0062,Aditya Gupta,FAC005,Night,7.1,Intermediate,Expired,0.903,0.036
OPR0063,Kavya Nair,FAC009,Night,17.0,Senior,Certified,0.969,0.006
OPR0064,Meera Kumar,FAC002,Night,0.3,Junior,Certified,0.788,0.032
OPR0065,Aditya Singh,FAC009,Night,0.8,Junior,Certified,0.903,0.032
OPR0066,Rahul Kumar,FAC003,Evening,16.4,Senior,Expired,0.851,0.026
OPR0067,Rohan Yadav,FAC006,Evening,2.6,Junior,Certified,0.807,0.032
OPR0068,Aditya Verma,FAC007,Evening,15.4,Senior,Certified,0.919,0.006
OPR0069,Kavya Gupta,FAC006,Evening,10.0,Senior,Certified,0.813,0.006
OPR0070,Priya Gupta,FAC002,Night,13.7,Senior,Certified,0.915,0.006
OPR0071,Aman Reddy,FAC001,Morning,15.4,Senior,Certified,0.982,0.006
OPR0072,Ishaan Mehta,FAC006,Evening,2.5,Junior,Certified,0.78,0.032
OPR0073,Ananya Singh,FAC004,Morning,17.4,Senior,Certified,0.887,0.006
OPR0074,Ishaan Sharma,FAC005,Evening,17.0,Senior,Certified,0.81,0.006
OPR0075,Aarav Kumar,FAC006,Night,9.2,Senior,Certified,0.764,0.006
OPR0076,Rahul Kumar,FAC004,Night,3.5,Intermediate,Certified,0.779,0.016
OPR0077,Rohan Sharma,FAC001,Morning,0.8,Junior,Certified,0.844,0.032
OPR0078,Simran Reddy,FAC008,Evening,19.2,Senior,Certified,0.948,0.006
OPR0079,Priya Yadav,FAC008,Night,7.0,Intermediate,Expired,0.993,0.036
OPR0080,Aman Yadav,FAC008,Morning,0.8,Junior,Certified,0.881,0.032
OPR0081,Neha Mehta,FAC004,Morning,14.5,Senior,Not Certified,0.769,0.026
OPR0082,Kavya Yadav,FAC001,Morning,4.6,Intermediate,Certified,0.777,0.016
OPR0083,Vikram Mehta,FAC005,Evening,16.7,Senior,Certified,0.776,0.006
OPR0084,Riya Sharma,FAC001,Evening,6.4,Intermediate,Certified,0.85,0.016
OPR0085,Riya Nair,FAC008,Morning,12.8,Senior,Certified,0.835,0.006
OPR0086,Kavya Singh,FAC006,Morning,17.5,Senior,Certified,0.875,0.006
OPR0087,Neha Gupta,FAC003,Evening,12.8,Senior,Certified,0.888,0.006
OPR0088,Priya Sharma,FAC004,Morning,16.5,Senior,Expired,0.785,0.026
OPR0089,Meera Nair,FAC006,Evening,3.0,Intermediate,Certified,0.985,0.016
OPR0090,Riya Kumar,FAC005,Evening,3.5,Intermediate,Certified,0.793,0.016
OPR0091,Simran Yadav,FAC001,Night,14.9,Senior,Certified,0.815,0.006
OPR0092,Kavya Gupta,FAC010,Night,17.1,Senior,Expired,0.834,0.026
OPR0093,Aditya Mehta,FAC006,Night,18.8,Senior,Certified,0.779,0.006
OPR0094,Kavya Gupta,FAC004,Evening,1.0,Junior,Expired,0.922,0.052
OPR0095,Riya Gupta,FAC003,Evening,6.3,Intermediate,Certified,0.984,0.016
OPR0096,Ishaan Gupta,FAC010,Morning,7.5,Intermediate,Certified,0.81,0.016
OPR0097,Neha Sharma,FAC005,Night,17.5,Senior,Certified,0.838,0.006
OPR0098,Meera Sharma,FAC009,Morning,9.5,Senior,Certified,0.92,0.006
OPR0099,Kavya Gupta,FAC009,Night,9.3,Senior,Certified,0.886,0.006
OPR0100,Rohan Patel,FAC005,Morning,4.8,Intermediate,Certified,0.912,0.016
OPR0101,Sai Sharma,FAC004,Evening,7.2,Intermediate,Certified,0.973,0.016
OPR0102,Simran Reddy,FAC009,Night,12.6,Senior,Certified,0.938,0.006
OPR0103,Aditya Kumar,FAC009,Evening,2.8,Junior,Expired,0.899,0.052
OPR0104,Riya Mehta,FAC004,Evening,7.3,Intermediate,Certified,0.778,0.016
OPR0105,Aarav Gupta,FAC008,Morning,0.3,Junior,Certified,0.792,0.032
OPR0106,Nitin Sharma,FAC008,Night,2.2,Junior,Certified,0.929,0.032
OPR0107,Vivaan Sharma,FAC003,Evening,14.9,Senior,Certified,0.76,0.006
OPR0108,Sai Mehta,FAC007,Evening,6.7,Intermediate,Not Certified,0.959,0.036
OPR0109,Meera Kumar,FAC003,Evening,14.2,Senior,Certified,0.885,0.006
OPR0110,Rohan Singh,FAC004,Night,14.4,Senior,Certified,0.985,0.006
OPR0111,Priya Kumar,FAC003,Evening,19.2,Senior,Expired,0.763,0.026
OPR0112,Priya Gupta,FAC006,Morning,7.8,Intermediate,Certified,0.861,0.016
OPR0113,Aarav Nair,FAC003,Morning,2.6,Junior,Certified,0.835,0.032
OPR0114,Karan Gupta,FAC006,Evening,7.1,Intermediate,Not Certified,0.776,0.036
OPR0115,Vivaan Patel,FAC009,Morning,10.9,Senior,Certified,0.823,0.006
OPR0116,Ananya Singh,FAC010,Evening,14.2,Senior,Certified,0.982,0.006
OPR0117,Sai Yadav,FAC008,Night,8.9,Senior,Certified,0.86,0.006
OPR0118,Nitin Nair,FAC006,Evening,19.4,Senior,Certified,0.856,0.006
OPR0119,Nitin Reddy,FAC005,Evening,2.0,Junior,Certified,0.86,0.032
OPR0120,Meera Singh,FAC003,Evening,7.1,Intermediate,Certified,0.946,0.016
OPR0121,Arjun Verma,FAC008,Evening,14.8,Senior,Certified,0.897,0.006
OPR0122,Rohan Singh,FAC003,Night,16.6,Senior,Certified,0.792,0.006
OPR0123,Rahul Yadav,FAC003,Evening,18.9,Senior,Not Certified,0.961,0.026
OPR0124,Simran Verma,FAC009,Morning,8.9,Senior,Not Certified,0.914,0.026
OPR0125,Karan Sharma,FAC001,Evening,5.4,Intermediate,Certified,0.993,0.016
OPR0126,Vivaan Singh,FAC005,Evening,12.7,Senior,Certified,0.833,0.006
OPR0127,Riya Yadav,FAC006,Morning,15.8,Senior,Certified,0.924,0.006
OPR0128,Aarav Gupta,FAC008,Evening,18.6,Senior,Expired,0.924,0.026
OPR0129,Simran Patel,FAC008,Evening,3.5,Intermediate,Certified,0.894,0.016
OPR0130,Rohan Yadav,FAC004,Evening,10.9,Senior,Certified,0.815,0.006
OPR0131,Ishaan Kumar,FAC002,Morning,12.3,Senior,Certified,0.866,0.006
OPR0132,Ishaan Patel,FAC010,Morning,16.2,Senior,Certified,0.794,0.006
OPR0133,Vikram Singh,FAC007,Morning,16.6,Senior,Certified,0.866,0.006
OPR0134,Riya Kumar,FAC010,Night,4.6,Intermediate,Certified,0.893,0.016
OPR0135,Ishaan Yadav,FAC008,Evening,2.1,Junior,Expired,0.962,0.052
OPR0136,Priya Singh,FAC008,Morning,3.7,Intermediate,Certified,0.986,0.016
OPR0137,Ishaan Sharma,FAC003,Morning,2.6,Junior,Certified,0.827,0.032
OPR0138,Riya Sharma,FAC006,Morning,1.0,Junior,Not Certified,0.799,0.052
OPR0139,Rahul Gupta,FAC005,Evening,19.0,Senior,Certified,0.921,0.006
OPR0140,Nitin Patel,FAC007,Morning,18.8,Senior,Certified,0.963,0.006
OPR0141,Karan Sharma,FAC008,Night,11.6,Senior,Certified,0.774,0.006
OPR0142,Priya Yadav,FAC002,Morning,5.5,Intermediate,Certified,0.897,0.016
OPR0143,Nitin Singh,FAC002,Night,2.0,Junior,Not Certified,0.967,0.052
OPR0144,Vivaan Patel,FAC010,Night,5.8,Intermediate,Certified,0.899,0.016
OPR0145,Arjun Kumar,FAC007,Evening,5.2,Intermediate,Certified,0.827,0.016
OPR0146,Ananya Singh,FAC008,Night,9.0,Senior,Certified,0.909,0.006
OPR0147,Sai Singh,FAC005,Night,10.1,Senior,Certified,0.931,0.006
OPR0148,Sai Yadav,FAC005,Morning,14.0,Senior,Certified,0.916,0.006
OPR0149,Simran Kumar,FAC006,Night,9.0,Senior,Certified,0.855,0.006
OPR0150,Aditya Yadav,FAC008,Morning,8.3,Senior,Certified,0.811,0.006
OPR0151,Riya Gupta,FAC004,Morning,13.2,Senior,Expired,0.979,0.026
OPR0152,Sai Verma,FAC005,Evening,10.0,Senior,Certified,0.982,0.006
OPR0153,Karan Sharma,FAC008,Evening,3.0,Intermediate,Certified,0.801,0.016
OPR0154,Priya Sharma,FAC007,Evening,17.8,Senior,Certified,0.958,0.006
OPR0155,Karan Singh,FAC001,Morning,9.9,Senior,Certified,0.795,0.006
OPR0156,Ishaan Nair,FAC005,Evening,1.3,Junior,Certified,0.858,0.032
OPR0157,Aman Yadav,FAC007,Morning,11.3,Senior,Certified,0.798,0.006
OPR0158,Ishaan Kumar,FAC003,Evening,0.6,Junior,Expired,0.923,0.052
OPR0159,Ananya Yadav,FAC001,Evening,16.5,Senior,Certified,0.782,0.006
OPR0160,Pooja Nair,FAC005,Evening,3.8,Intermediate,Expired,0.855,0.036
OPR0161,Rahul Yadav,FAC006,Evening,14.7,Senior,Certified,0.918,0.006
OPR0162,Riya Kumar,FAC006,Evening,12.1,Senior,Certified,0.931,0.006
OPR0163,Ananya Nair,FAC009,Night,13.1,Senior,Certified,0.965,0.006
OPR0164,Vivaan Kumar,FAC007,Morning,15.6,Senior,Certified,0.874,0.006
OPR0165,Aditya Verma,FAC003,Evening,5.0,Intermediate,Not Certified,0.908,0.036
OPR0166,Arjun Verma,FAC004,Evening,6.0,Intermediate,Certified,0.8,0.016
OPR0167,Meera Gupta,FAC003,Evening,9.1,Senior,Certified,0.918,0.006
OPR0168,Vivaan Reddy,FAC006,Night,6.3,Intermediate,Certified,0.849,0.016
OPR0169,Nitin Patel,FAC010,Morning,17.2,Senior,Expired,0.912,0.026
OPR0170,Meera Nair,FAC004,Night,4.1,Intermediate,Expired,0.885,0.036
OPR0171,Neha Singh,FAC001,Evening,15.9,Senior,Certified,0.914,0.006
OPR0172,Rahul Kumar,FAC010,Evening,9.7,Senior,Certified,0.92,0.006
OPR0173,Ishaan Kumar,FAC004,Evening,8.5,Senior,Certified,0.866,0.006
OPR0174,Aman Verma,FAC003,Morning,11.1,Senior,Certified,0.981,0.006
OPR0175,Vikram Nair,FAC008,Morning,15.6,Senior,Certified,0.923,0.006
OPR0176,Rahul Kumar,FAC009,Evening,9.9,Senior,Certified,0.882,0.006
OPR0177,Nitin Nair,FAC003,Morning,2.0,Junior,Certified,0.96,0.032
OPR0178,Neha Sharma,FAC009,Night,19.4,Senior,Certified,0.861,0.006
OPR0179,Kavya Sharma,FAC008,Morning,14.3,Senior,Certified,0.83,0.006
OPR0180,Vikram Gupta,FAC003,Morning,14.6,Senior,Certified,0.768,0.006
OPR0181,Aarav Patel,FAC010,Morning,0.3,Junior,Certified,0.978,0.032
OPR0182,Neha Sharma,FAC009,Morning,4.6,Intermediate,Certified,0.908,0.016
OPR0183,Sai Reddy,FAC008,Evening,17.1,Senior,Certified,0.771,0.006
OPR0184,Nitin Yadav,FAC006,Night,10.1,Senior,Not Certified,0.915,0.026
OPR0185,Ananya Reddy,FAC008,Night,6.8,Intermediate,Certified,0.913,0.016
OPR0186,Rohan Reddy,FAC004,Evening,6.5,Intermediate,Certified,0.96,0.016
OPR0187,Aman Nair,FAC009,Night,13.8,Senior,Certified,0.85,0.006
OPR0188,Nitin Nair,FAC001,Evening,18.4,Senior,Not Certified,0.944,0.026
OPR0189,Arjun Mehta,FAC005,Morning,1.6,Junior,Certified,0.852,0.032
OPR0190,Arjun Nair,FAC006,Night,7.1,Intermediate,Certified,0.895,0.016
OPR0191,Rahul Kumar,FAC002,Night,16.0,Senior,Certified,0.783,0.006
OPR0192,Aditya Kumar,FAC009,Night,16.7,Senior,Certified,0.768,0.006
OPR0193,Pooja Sharma,FAC010,Evening,12.4,Senior,Certified,0.794,0.006
OPR0194,Karan Singh,FAC006,Morning,10.1,Senior,Certified,0.93,0.006
OPR0195,Aman Sharma,FAC006,Night,12.9,Senior,Expired,0.85,0.026
OPR0196,Neha Singh,FAC007,Night,5.3,Intermediate,Certified,0.902,0.016
OPR0197,Priya Verma,FAC001,Night,0.6,Junior,Certified,0.99,0.032
OPR0198,Simran Reddy,FAC003,Morning,9.0,Senior,Certified,0.971,0.006
OPR0199,Ishaan Nair,FAC004,Evening,2.2,Junior,Certified,0.787,0.032
OPR0200,Nitin Nair,FAC006,Evening,10.1,Senior,Certified,0.985,0.006
OPR0201,Nitin Verma,FAC002,Evening,7.1,Intermediate,Certified,0.868,0.016
OPR0202,Aditya Yadav,FAC004,Night,6.7,Intermediate,Certified,0.899,0.016
OPR0203,Rohan Kumar,FAC005,Morning,5.8,Intermediate,Certified,0.944,0.016
OPR0204,Pooja Patel,FAC006,Morning,10.4,Senior,Certified,0.947,0.006
OPR0205,Ishaan Nair,FAC004,Night,13.2,Senior,Certified,0.825,0.006
OPR0206,Neha Verma,FAC002,Morning,19.0,Senior,Certified,0.885,0.006
OPR0207,Pooja Kumar,FAC009,Evening,10.3,Senior,Certified,0.775,0.006
OPR0208,Nitin Yadav,FAC003,Morning,4.4,Intermediate,Certified,0.885,0.016
OPR0209,Karan Kumar,FAC007,Morning,16.1,Senior,Certified,0.944,0.006
OPR0210,Karan Nair,FAC003,Night,7.1,Intermediate,Certified,0.971,0.016
OPR0211,Kavya Mehta,FAC004,Evening,13.8,Senior,Certified,0.968,0.006
OPR0212,Arjun Yadav,FAC005,Evening,17.3,Senior,Certified,0.916,0.006
OPR0213,Simran Verma,FAC005,Morning,15.5,Senior,Certified,0.873,0.006
OPR0214,Vivaan Patel,FAC006,Evening,16.6,Senior,Certified,0.971,0.006
OPR0215,Rohan Kumar,FAC002,Night,17.7,Senior,Expired,0.771,0.026
OPR0216,Ananya Gupta,FAC002,Morning,1.9,Junior,Certified,0.806,0.032
OPR0217,Rahul Yadav,FAC009,Morning,12.3,Senior,Certified,0.77,0.006
OPR0218,Kavya Reddy,FAC010,Morning,13.0,Senior,Certified,0.844,0.006
OPR0219,Sai Reddy,FAC010,Evening,19.1,Senior,Certified,0.961,0.006
OPR0220,Sai Reddy,FAC004,Morning,10.4,Senior,Certified,0.92,0.006
OPR0221,Karan Reddy,FAC007,Night,18.7,Senior,Expired,0.824,0.026
OPR0222,Arjun Sharma,FAC007,Night,2.4,Junior,Certified,0.921,0.032
OPR0223,Sai Kumar,FAC003,Morning,17.1,Senior,Certified,0.95,0.006
OPR0224,Aarav Reddy,FAC007,Evening,5.1,Intermediate,Certified,0.845,0.016
OPR0225,Aarav Patel,FAC005,Morning,19.5,Senior,Certified,0.884,0.006
OPR0226,Arjun Patel,FAC001,Morning,3.0,Intermediate,Certified,0.854,0.016
OPR0227,Priya Singh,FAC006,Night,0.2,Junior,Certified,0.83,0.032
OPR0228,Rahul Verma,FAC001,Night,3.7,Intermediate,Certified,0.934,0.016
OPR0229,Riya Verma,FAC007,Evening,2.3,Junior,Certified,0.892,0.032
OPR0230,Nitin Kumar,FAC005,Evening,1.0,Junior,Certified,0.786,0.032
OPR0231,Nitin Nair,FAC009,Evening,13.9,Senior,Certified,0.9,0.006
OPR0232,Meera Kumar,FAC008,Morning,19.3,Senior,Certified,0.99,0.006
OPR0233,Sai Singh,FAC007,Evening,16.7,Senior,Certified,0.863,0.006
OPR0234,Ishaan Verma,FAC006,Night,2.2,Junior,Certified,0.919,0.032
OPR0235,Vivaan Reddy,FAC005,Night,3.7,Intermediate,Certified,0.841,0.016
OPR0236,Simran Kumar,FAC004,Morning,9.2,Senior,Certified,0.969,0.006
OPR0237,Arjun Yadav,FAC003,Night,15.4,Senior,Certified,0.808,0.006
OPR0238,Pooja Yadav,FAC010,Evening,3.1,Intermediate,Certified,0.807,0.016
OPR0239,Riya Mehta,FAC010,Evening,2.7,Junior,Certified,0.802,0.032
OPR0240,Meera Gupta,FAC001,Night,2.1,Junior,Certified,0.923,0.032
OPR0241,Kavya Mehta,FAC008,Night,18.8,Senior,Certified,0.961,0.006
OPR0242,Pooja Kumar,FAC007,Evening,2.6,Junior,Certified,0.927,0.032
OPR0243,Aditya Gupta,FAC005,Evening,7.1,Intermediate,Certified,0.943,0.016
OPR0244,Rohan Reddy,FAC002,Evening,2.5,Junior,Certified,0.772,0.032
OPR0245,Vivaan Patel,FAC005,Evening,13.4,Senior,Certified,0.805,0.006
OPR0246,Aditya Yadav,FAC009,Evening,7.7,Intermediate,Expired,0.966,0.036
OPR0247,Kavya Kumar,FAC002,Morning,11.2,Senior,Expired,0.871,0.026
OPR0248,Simran Kumar,FAC003,Morning,0.4,Junior,Certified,0.902,0.032
OPR0249,Sai Reddy,FAC008,Night,3.0,Intermediate,Expired,0.849,0.036
OPR0250,Priya Reddy,FAC008,Evening,9.7,Senior,Certified,0.902,0.006
OPR0251,Sai Nair,FAC008,Evening,6.1,Intermediate,Not Certified,0.93,0.036
OPR0252,Riya Nair,FAC003,Evening,0.4,Junior,Certified,0.908,0.032
OPR0253,Nitin Patel,FAC006,Evening,12.2,Senior,Certified,0.856,0.006
OPR0254,Rahul Singh,FAC010,Morning,5.7,Intermediate,Expired,0.992,0.036
OPR0255,Vivaan Nair,FAC004,Evening,1.8,Junior,Certified,0.86,0.032
OPR0256,Aman Nair,FAC005,Night,19.6,Senior,Certified,0.789,0.006
OPR0257,Aman Verma,FAC002,Evening,16.5,Senior,Certified,0.802,0.006
OPR0258,Pooja Singh,FAC008,Night,8.7,Senior,Certified,0.944,0.006
OPR0259,Karan Gupta,FAC004,Morning,19.5,Senior,Certified,0.962,0.006
OPR0260,Simran Singh,FAC001,Night,3.1,Intermediate,Certified,0.798,0.016
OPR0261,Kavya Yadav,FAC010,Morning,13.6,Senior,Certified,0.777,0.006
OPR0262,Kavya Sharma,FAC007,Morning,6.2,Intermediate,Certified,0.818,0.016
OPR0263,Aman Singh,FAC004,Night,15.3,Senior,Certified,0.962,0.006
OPR0264,Ishaan Mehta,FAC002,Evening,13.8,Senior,Certified,0.782,0.006
OPR0265,Priya Nair,FAC004,Morning,11.3,Senior,Certified,0.809,0.006
OPR0266,Vivaan Yadav,FAC004,Morning,4.9,Intermediate,Certified,0.971,0.016
OPR0267,Ananya Gupta,FAC008,Night,0.6,Junior,Certified,0.908,0.032
OPR0268,Aarav Kumar,FAC007,Night,4.9,Intermediate,Certified,0.942,0.016
OPR0269,Ishaan Mehta,FAC007,Evening,1.9,Junior,Certified,0.8,0.032
OPR0270,Neha Kumar,FAC007,Night,8.4,Senior,Certified,0.844,0.006
OPR0271,Pooja Yadav,FAC004,Night,13.2,Senior,Certified,0.824,0.006
OPR0272,Riya Patel,FAC010,Evening,2.6,Junior,Certified,0.931,0.032
OPR0273,Simran Mehta,FAC009,Night,16.8,Senior,Certified,0.812,0.006
OPR0274,Aman Reddy,FAC006,Night,19.3,Senior,Certified,0.83,0.006
OPR0275,Ishaan Nair,FAC006,Morning,5.2,Intermediate,Certified,0.972,0.016
OPR0276,Meera Kumar,FAC004,Evening,1.0,Junior,Certified,0.825,0.032
OPR0277,Riya Singh,FAC004,Evening,15.2,Senior,Not Certified,0.917,0.026
OPR0278,Vikram Yadav,FAC008,Evening,13.3,Senior,Not Certified,0.921,0.026
OPR0279,Simran Singh,FAC006,Night,18.9,Senior,Certified,0.771,0.006
OPR0280,Neha Reddy,FAC005,Night,7.0,Intermediate,Certified,0.837,0.016
OPR0281,Arjun Kumar,FAC008,Morning,5.1,Intermediate,Certified,0.977,0.016
OPR0282,Simran Singh,FAC009,Evening,12.6,Senior,Certified,0.905,0.006
OPR0283,Rohan Verma,FAC009,Night,7.5,Intermediate,Certified,0.963,0.016
OPR0284,Neha Patel,FAC004,Night,7.4,Intermediate,Not Certified,0.933,0.036
OPR0285,Aarav Gupta,FAC002,Evening,6.9,Intermediate,Certified,0.975,0.016
OPR0286,Aarav Mehta,FAC003,Night,8.1,Senior,Certified,0.934,0.006
OPR0287,Rohan Verma,FAC006,Evening,6.6,Intermediate,Certified,0.983,0.016
OPR0288,Aditya Yadav,FAC001,Morning,3.6,Intermediate,Expired,0.816,0.036
OPR0289,Karan Sharma,FAC007,Evening,4.8,Intermediate,Certified,0.891,0.016
OPR0290,Ananya Patel,FAC009,Morning,6.3,Intermediate,Certified,0.864,0.016
OPR0291,Pooja Nair,FAC010,Morning,3.7,Intermediate,Certified,0.864,0.016
OPR0292,Vikram Gupta,FAC007,Evening,6.3,Intermediate,Certified,0.936,0.016
OPR0293,Pooja Nair,FAC007,Morning,1.5,Junior,Certified,0.906,0.032
OPR0294,Neha Reddy,FAC004,Evening,18.7,Senior,Certified,0.762,0.006
OPR0295,Aman Kumar,FAC007,Evening,8.8,Senior,Certified,0.779,0.006
OPR0296,Neha Verma,FAC002,Evening,13.5,Senior,Certified,0.772,0.006
OPR0297,Vivaan Patel,FAC003,Morning,10.5,Senior,Expired,0.869,0.026
OPR0298,Neha Reddy,FAC006,Evening,12.4,Senior,Expired,0.922,0.026
OPR0299,Rohan Gupta,FAC001,Morning,2.4,Junior,Certified,0.773,0.032
OPR0300,Kavya Verma,FAC004,Evening,2.3,Junior,Not Certified,0.921,0.052
OPR0301,Pooja Verma,FAC009,Morning,7.9,Intermediate,Certified,0.912,0.016
OPR0302,Rohan Gupta,FAC005,Night,19.5,Senior,Certified,0.943,0.006
OPR0303,Ananya Kumar,FAC001,Evening,8.4,Senior,Certified,0.994,0.006
OPR0304,Riya Gupta,FAC004,Morning,2.3,Junior,Certified,0.817,0.032
OPR0305,Arjun Verma,FAC010,Evening,11.8,Senior,Certified,0.774,0.006
OPR0306,Vivaan Mehta,FAC010,Morning,11.2,Senior,Certified,0.953,0.006
OPR0307,Rahul Sharma,FAC009,Night,2.5,Junior,Certified,0.91,0.032
OPR0308,Ananya Singh,FAC008,Night,2.6,Junior,Expired,0.84,0.052
OPR0309,Rohan Reddy,FAC008,Morning,9.9,Senior,Expired,0.803,0.026
OPR0310,Kavya Nair,FAC005,Evening,6.2,Intermediate,Certified,0.83,0.016
OPR0311,Pooja Mehta,FAC004,Morning,5.5,Intermediate,Certified,0.764,0.016
OPR0312,Neha Verma,FAC008,Morning,19.9,Senior,Certified,0.98,0.006
OPR0313,Neha Yadav,FAC008,Evening,9.9,Senior,Certified,0.929,0.006
OPR0314,Priya Gupta,FAC003,Morning,3.3,Intermediate,Certified,0.855,0.016
OPR0315,Vikram Patel,FAC001,Night,15.6,Senior,Certified,0.994,0.006
OPR0316,Aman Verma,FAC005,Night,2.2,Junior,Certified,0.982,0.032
OPR0317,Aman Sharma,FAC009,Night,14.7,Senior,Certified,0.854,0.006
OPR0318,Rahul Kumar,FAC010,Morning,10.6,Senior,Certified,0.856,0.006
